lanth,CASSCF,MCPDFT,convergence,S_squared,nev_lanth,nevpt,spin,nev_S_squared
Dy,-13051.0176334579,-13059.240327663243,119,24.7500000,Dy,-13055.229210548636,1,0.7713127
Dy,-13051.2378647979,-13059.450838123978,13,15.7500000,Dy,-13055.229093572672,3,3.7654500
Dy,-13051.4061176298,-13059.634736589152,150,8.7500000,Dy,-13055.22898721082,5,8.7500000
Dy,-13051.4062785493,-13059.63501087892,36,3.7500000,Dy,-13055.02203755876,7,15.7500000
Dy,-13051.4062893407,-13059.635121814963,2,0.7500000,Dy,-13054.80267541436,9,24.7500000
Er,-13979.9791514638,-13988.457395096726,119,35.7500000,Er,-13983.81064596872,11,35.7500000
Er,-13980.1907189148,-13988.662022355902,24,24.7500000,Er,-13984.598401155787,1,4.9947635
Er,-13980.4498867094,-13988.917230531675,133,15.7500000,Er,-13984.598438980187,3,5.8759840
Er,-13980.6755208799,-13989.226057603102,150,8.7500000,Er,-13984.598354694726,5,8.7500000
Er,-13980.6755212753,-13989.226069343807,19,3.7500000,Er,-13984.285745632045,7,15.7500000
Er,-13980.6755330239,-13989.226104671006,16,0.7500000,Er,-13984.021997443188,9,24.7500000
Eu,-11738.1754687603,-11745.925989618065,131,12.0000000,Eu,-11742.006100568098,0,6.0000000
Eu,-11738.3400675871,-11746.10518570805,77,6.0000000,Eu,-11742.013153794263,2,6.0000000
Eu,-11738.2591835418,-11746.031010948727,68,2.0000000,Eu,-11742.013394769792,4,6.0000000
Eu,-11738.2407999083,-11745.984865514876,67,-0.0000000,Eu,-11741.808075124158,6,12.0000000
Gd,-12165.8012229823,-12173.631652941687,123,15.7500000,Gd,-12169.546778034712,1,15.7500000
Gd,-12165.6338791049,-12173.472320869228,150,8.7500000,Gd,-12169.546802901454,3,15.7500000
Gd,-12165.5168335665,-12173.36236991201,150,3.7500000,Gd,-12169.54689304248,5,15.7500000
Gd,-12165.4644857111,-12173.320266540339,24,0.7500000,Gd,-12169.546935683627,7,15.7500000
Ho,-13510.2476668400,-13518.546032006827,143,30.0000000,Ho,-13514.473480805475,0,3.5468329
Ho,-13510.4796150851,-13518.837633446215,150,20.0000000,Ho,-13514.028862413059,10,30.0000000
Ho,-13510.6307659827,-13518.99936740772,150,12.0000000,Ho,-13514.473477044347,2,10.2826140
Ho,-13510.6307026653,-13518.999321149447,68,6.0000000,Ho,-13514.473480271672,4,10.4768222
Ho,-13510.6306887894,-13518.999294309375,150,2.0000000,Ho,-13514.473446699412,6,12.0000000
Ho,-13510.5330980332,-13518.900877775388,150,0.0000000,Ho,-13514.308423679004,8,20.0000000
Lu,-15457.2171319464,-15466.298860031062,75,42.0000000,Lu,-15462.45411023321,0,0.0000000
Lu,-15457.4205497872,-15466.468766311951,138,30.0000000,Lu,-15461.507707859728,10,30.0000000
Lu,-15457.7164999567,-15466.747527640178,79,20.0000000,Lu,-15461.328791416163,12,42.0000000
Lu,-15457.8834119458,-15466.897016215255,41,12.0000000,Lu,-15462.34285122582,2,2.0000000
Lu,-15458.0704261994,-15467.084286115867,150,6.0000000,Lu,-15462.168566753508,4,6.0000000
Lu,-15458.2254494780,-15467.253593023344,54,2.0000000,Lu,-15461.973118043721,6,12.0000000
Lu,-15458.3307691242,-15467.362654755641,17,0.0000000,Lu,-15461.810333338934,8,20.0000000
Nd,-10518.3857101283,-10525.721541716166,23,3.7500000,Nd,-10521.951960949611,1,3.7500000
Nd,-10518.3186161463,-10525.670180573197,41,0.7500000,Nd,-10521.9536323815,3,3.7500000
Pm,-10914.9465360396,-10922.41048140372,38,6.0000000,Pm,-10918.599386421394,0,6.0000000
Pm,-10914.8619268307,-10922.321475685734,42,2.0000000,Pm,-10918.600286636234,2,6.0000000
Pm,-10914.8171967287,-10922.292596461102,64,-0.0000000,Pm,-10918.584191856276,4,6.0000000
Pr,-10131.7671235923,-10138.97316067032,31,2.0000000,Pr,-10135.360910349658,0,2.0000000
Pr,-10131.7364725927,-10138.973750650008,16,0.0000000,Pr,-10135.361033816916,2,2.0000000
Sm,-11321.5843856971,-11329.180840415804,69,8.7500000,Sm,-11325.24708040523,1,8.7500000
Sm,-11321.4850097862,-11329.098402065132,150,3.7500000,Sm,-11325.247079095589,3,8.7500000
Sm,-11321.4349250888,-11329.045549343513,37,0.7500000,Sm,-11325.247077965001,5,8.7500000
Tb,-12603.2702713576,-12611.281333123268,15,20.0000000,Tb,-12607.040090061008,0,19.8488030
Tb,-12603.2701520734,-12611.281189581268,5,12.0000000,Tb,-12607.040296682573,2,19.8513129
Tb,-12603.2700997776,-12611.281169036532,5,6.0000000,Tb,-12607.040290330198,4,19.8788226
Tb,-12603.1420557255,-12611.16781691023,40,2.0000000,Tb,-12607.040288919203,6,19.8983369
Tb,-12603.0554942905,-12611.085067615517,150,0.0000000,Tb,-12607.040290758787,8,20.0000000
Tm,-14461.0088768640,-14469.660766957026,150,42.0000000,Tm,-14465.845659407078,0,5.4625599
Tm,-14461.1781383293,-14469.810552281244,11,30.0000000,Tm,-14465.070210741344,10,30.0000000
Tm,-14461.3355678046,-14469.979460014058,34,20.0000000,Tm,-14464.91520873465,12,42.0000000
Tm,-14461.5975832187,-14470.236823674986,80,12.0000000,Tm,-14465.845670362536,2,4.9050534
Tm,-14461.8130253885,-14470.55583588425,49,6.0000000,Tm,-14465.845649323132,4,6.0000000
Tm,-14461.8130074236,-14470.556020387168,24,2.0000000,Tm,-14465.51762839694,6,12.0000000
Tm,-14461.8130097203,-14470.556153903095,150,0.0000000,Tm,-14465.250853852132,8,20.0000000
