lanth,spin,CASSCF,MCPDFT,nevpt
Dy,9,-13051.33666692706,-13059.479152821805,-13055.132396609073
Gd,7,-12165.756319963373,-12173.6603038727,-12169.562064865086
Nd,1,-10518.313649349917,-10525.67620226065,-10521.884240033129
Nd,3,-10518.368715484325,-10525.72862575611,-10521.993450038764
Pm,0,-10914.797187248549,-10922.319653247541,-10918.402042037562
Pm,2,-10914.837275082358,-10922.34038795874,-10918.437942206823
Pm,4,-10914.94063921146,-10922.41082407505,-10918.574693918808
Pr,0,-10131.735101740453,-10138.973366433134,-10135.354157063726
Pr,2,-10131.759115342173,-10138.986072565305,-10135.392119602104
Tm,10,-14461.234389012467,-14469.884485040138,-14465.106708100217
Tm,4,-14461.836500064292,-14470.564326307023,-14465.81269509955
Tm,0,-14461.836463400829,-14470.564644550148,-14465.812938779472
Tm,8,-14461.433167157958,-14470.075084881548,-14465.303110023517
Tm,12,-14461.006641684371,-14469.673382638342,-14464.894225390293
Tm,6,-14461.622780132437,-14470.23866992039,-14465.47661197558
Tm,2,-14461.83646758193,-14470.564524745303,-14465.812834252083
