lanth, nevpt,spin, S_squared
Dy,-13054.80267541436,9,24.7500000
Dy,-13055.02203755876,7,15.7500000
Dy,-13055.22898721082,5,8.7500000
Dy,-13055.229093572672,3,3.7654500
Dy,-13055.229210548636,1,0.7713127
Er,-13983.81064596872,11,35.7500000
Er,-13984.021997443188,9,24.7500000
Er,-13984.285745632045,7,15.7500000
Er,-13984.598354694726,5,8.7500000
Er,-13984.598438980187,3,5.8759840
Er,-13984.598401155787,1,4.9947635
Eu,-11741.808075124158,6,12.0000000
Eu,-11742.013394769792,4,6.0000000
Eu,-11742.013153794263,2,6.0000000
Eu,-11742.006100568098,0,6.0000000
Gd,-12169.546935683627,7,15.7500000
Gd,-12169.54689304248,5,15.7500000
Gd,-12169.546802901454,3,15.7500000
Gd,-12169.546778034712,1,15.7500000
Ho,-13514.028862413059,10,30.0000000
Ho,-13514.308423679004,8,20.0000000
Ho,-13514.473446699412,6,12.0000000
Ho,-13514.473480271672,4,10.4768222
Ho,-13514.473477044347,2,10.2826140
Ho,-13514.473480805475,0,3.5468329
Lu,-15461.328791416163,12,42.0000000
Lu,-15461.507707859728,10,30.0000000
Lu,-15461.810333338934,8,20.0000000
Lu,-15461.973118043721,6,12.0000000
Lu,-15462.168566753508,4,6.0000000
Lu,-15462.34285122582,2,2.0000000
Lu,-15462.45411023321,0,0.0000000
Nd,-10521.9536323815,3,3.7500000
Nd,-10521.951960949611,1,3.7500000
Pm,-10918.584191856276,4,6.0000000
Pm,-10918.600286636234,2,6.0000000
Pm,-10918.599386421394,0,6.0000000
Pr,-10135.361033816916,2,2.0000000
Pr,-10135.360910349658,0,2.0000000
Sm,-11325.247077965001,5,8.7500000
Sm,-11325.247079095589,3,8.7500000
Sm,-11325.24708040523,1,8.7500000
Tb,-12607.040290758787,8,20.0000000
Tb,-12607.040288919203,6,19.8983369
Tb,-12607.040290330198,4,19.8788226
Tb,-12607.040296682573,2,19.8513129
Tb,-12607.040090061008,0,19.8488030
Tm,-14464.91520873465,12,42.0000000
Tm,-14465.070210741344,10,30.0000000
Tm,-14465.250853852132,8,20.0000000
Tm,-14465.51762839694,6,12.0000000
Tm,-14465.845649323132,4,6.0000000
Tm,-14465.845670362536,2,4.9050534
Tm,-14465.845659407078,0,5.4625599
