lanth,CASSCF,MCPDFT,convergence,S_squared,nev_lanth,nevpt,spin, nev_S_squared
Dy,-13051.0176334579,-384.3187310253992,119,24.7500000,Dy,-13054.80267541436,9,24.7500000
Dy,-13051.2378647979,-384.3144889734237,13,15.7500000,Dy,-13055.02203755876,7,15.7500000
Dy,-13051.4061176298,-384.2603193738732,150,8.7500000,Dy,-13055.22898721082,5,8.7500000
Dy,-13051.4062785493,-384.26108909901984,36,3.7500000,Dy,-13055.229093572672,3,3.7654500
Dy,-13051.4062893407,-384.2609066075257,2,0.7500000,Dy,-13055.229210548636,1,0.7713127
Er,-13979.9791514638,-398.921632939615,119,35.7500000,Er,-13983.81064596872,11,35.7500000
Er,-13980.1907189148,-398.9104780428513,24,24.7500000,Er,-13984.021997443188,9,24.7500000
Er,-13980.4498867094,-398.9167477085402,133,15.7500000,Er,-13984.285745632045,7,15.7500000
Er,-13980.6755208799,-399.33961512088126,150,8.7500000,Er,-13984.598354694726,5,8.7500000
Er,-13980.6755212753,-399.3394744740984,19,3.7500000,Er,-13984.598438980187,3,5.8759840
Er,-13980.6755330239,-399.33936098996026,16,0.7500000,Er,-13984.598401155787,1,4.9947635
Eu,-11738.1754687603,-362.599934783878,131,12.0000000,Eu,-11741.808075124158,6,12.0000000
Eu,-11738.3400675871,-362.550169874902,77,6.0000000,Eu,-11742.013394769792,4,6.0000000
Eu,-11738.2591835418,-362.46305953571715,68,2.0000000,Eu,-11742.013153794263,2,6.0000000
Eu,-11738.2407999083,-362.4090864862802,67,-0.0000000,Eu,-11742.006100568098,0,6.0000000
Gd,-12165.8012229823,-369.83584506917003,123,15.7500000,Gd,-12169.546935683627,7,15.7500000
Gd,-12165.6338791049,-369.6580587127152,150,8.7500000,Gd,-12169.54689304248,5,15.7500000
Gd,-12165.5168335665,-369.52839750140265,150,3.7500000,Gd,-12169.546802901454,3,15.7500000
Gd,-12165.4644857111,-369.46388245691946,24,0.7500000,Gd,-12169.546778034712,1,15.7500000
Ho,-13510.2476668400,-391.37844842736314,143,30.0000000,Ho,-13514.028862413059,10,30.0000000
Ho,-13510.4796150851,-391.78654980948215,150,20.0000000,Ho,-13514.308423679004,8,20.0000000
Ho,-13510.6307659827,-391.7522259259062,150,12.0000000,Ho,-13514.473446699412,6,12.0000000
Ho,-13510.6307026653,-391.75209416876163,68,6.0000000,Ho,-13514.473480271672,4,10.4768222
Ho,-13510.6306887894,-391.75188473132147,150,2.0000000,Ho,-13514.473477044347,2,10.2826140
Ho,-13510.5330980332,-391.64879367371225,150,0.0000000,Ho,-13514.473480805475,0,3.5468329
Lu,-15457.2171319464,-422.97020554115466,75,42.0000000,Lu,-15461.328791416163,12,42.0000000
Lu,-15457.4205497872,-422.92521276098,138,30.0000000,Lu,-15461.507707859728,10,30.0000000
Lu,-15457.7164999567,-423.1580083060297,79,20.0000000,Lu,-15461.810333338934,8,20.0000000
Lu,-15457.8834119458,-423.1304075454119,41,12.0000000,Lu,-15461.973118043721,6,12.0000000
Lu,-15458.0704261994,-423.0779048243442,150,6.0000000,Lu,-15462.168566753508,4,6.0000000
Lu,-15458.2254494780,-423.02935956158484,54,2.0000000,Lu,-15462.34285122582,2,2.0000000
Lu,-15458.3307691242,-422.99522286376276,17,0.0000000,Lu,-15462.45411023321,0,0.0000000
Nd,-10518.3857101283,-342.02480159624383,23,3.7500000,Nd,-10521.9536323815,3,3.7500000
Nd,-10518.3186161463,-341.93945537027895,41,0.7500000,Nd,-10521.951960949611,1,3.7500000
Pm,-10914.9465360396,-348.76686835213445,38,6.0000000,Pm,-10918.584191856276,4,6.0000000
Pm,-10914.8619268307,-348.63780191822576,42,2.0000000,Pm,-10918.600286636234,2,6.0000000
Pm,-10914.8171967287,-348.60451866584407,64,-0.0000000,Pm,-10918.599386421394,0,6.0000000
Pr,-10131.7671235923,-335.4328661120592,31,2.0000000,Pr,-10135.361033816916,2,2.0000000
Pr,-10131.7364725927,-335.4126158388747,16,0.0000000,Pr,-10135.360910349658,0,2.0000000
Sm,-11321.5843856971,-355.6241274896123,69,8.7500000,Sm,-11325.247077965001,5,8.7500000
Sm,-11321.4850097862,-355.51674426125567,150,3.7500000,Sm,-11325.247079095589,3,8.7500000
Sm,-11321.4349250888,-355.4346614941619,37,0.7500000,Sm,-11325.24708040523,1,8.7500000
Tb,-12603.2702713576,-377.03722437450784,15,20.0000000,Tb,-12607.040290758787,8,20.0000000
Tb,-12603.2701520734,-377.03713069163285,5,12.0000000,Tb,-12607.040288919203,6,19.8983369
Tb,-12603.2700997776,-377.03701666443015,5,6.0000000,Tb,-12607.040290330198,4,19.8788226
Tb,-12603.1420557255,-376.89600867533767,40,2.0000000,Tb,-12607.040296682573,2,19.8513129
Tb,-12603.0554942905,-376.79244106603545,150,0.0000000,Tb,-12607.040090061008,0,19.8488030
Tm,-14461.0088768640,-406.70154338791644,150,42.0000000,Tm,-14464.91520873465,12,42.0000000
Tm,-14461.1781383293,-406.6753363244987,11,30.0000000,Tm,-14465.070210741344,10,30.0000000
Tm,-14461.3355678046,-406.630581466879,34,20.0000000,Tm,-14465.250853852132,8,20.0000000
Tm,-14461.5975832187,-406.6487896857274,80,12.0000000,Tm,-14465.51762839694,6,12.0000000
Tm,-14461.8130253885,-407.0861204488333,49,6.0000000,Tm,-14465.845649323132,4,6.0000000
Tm,-14461.8130074236,-407.0860263821284,24,2.0000000,Tm,-14465.845670362536,2,4.9050534
Tm,-14461.8130097203,-407.0859879794476,150,0.0000000,Tm,-14465.845659407078,0,5.4625599
